,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN21892_c4_g22,38,51,25,27,47,34,50,14,40,29
TRINITY_DN14623_c0_g1,99,87,79,74,41,82,58,21,163,46
TRINITY_DN18846_c0_g1,32,44,52,51,12,37,29,16,56,38
TRINITY_DN15826_c0_g1,50,75,51,48,23,64,47,29,87,49
TRINITY_DN23779_c14_g1,298,371,253,240,116,326,246,294,324,213
TRINITY_DN22909_c1_g3,119,166,44,56,60,124,48,18,76,53
TRINITY_DN22294_c0_g5,50,59,34,55,26,68,90,19,35,13
TRINITY_DN22677_c3_g4,98,98,82,147,32,99,88,215,77,156
TRINITY_DN22270_c2_g5,331,381,213,224,95.87,368,158,89,374,199
TRINITY_DN5791_c0_g1,301,296,344,450,310,348,513,151,614,246
TRINITY_DN20538_c0_g2,25584,31239,19223,13459,11791,29588,14032,6360,42686,22150
TRINITY_DN14835_c0_g1,3584,6582,2666,2392,1469,3940,3384,3786,7803,2515
TRINITY_DN20520_c0_g2,112,190.1,104.92,138.08,62,125,85,32,159,100
TRINITY_DN6191_c0_g1,286,306,287,255,204,353,277,27,442,207
TRINITY_DN10069_c1_g1,229,208,328,437,242,325,199,498,281,375
TRINITY_DN21718_c1_g13,19,23,18,29,33,38,31,36,19,43
TRINITY_DN21308_c0_g1,17,36,16,45,12,35,30,46,78,31
TRINITY_DN23093_c0_g3,34,42,73.33,18,36.25,30,78,16,17,12
TRINITY_DN18017_c0_g1,3671,2765,3029,3549,2062,4011,3161,1163,4945,1678
TRINITY_DN23231_c1_g8,73.15,45.65,44.93,31.78,40.64,67.24,78.5,468.97,67.96,49.74
TRINITY_DN14620_c0_g1,1127,886,328,642,908,1281,1471,947,708,757
TRINITY_DN14152_c0_g1,874.95,544.86,566.48,943.32,554.69,1039.52,1027.07,1564.55,1034.54,592.09
TRINITY_DN13462_c0_g1,1606,768,973,2450,1698,2168,3250,4255,1631,1077
TRINITY_DN15824_c0_g1,567,518,723,795,701,698,844,204,643,372
TRINITY_DN22966_c0_g1,55,45,21,31,16,74,31,112,19,20
TRINITY_DN22670_c1_g1,132.84,260.97,146.05,251.64,101,144.97,139,120,256.31,197.53
TRINITY_DN23056_c4_g1,95,215,52,73,36,105,44,10,49,48
TRINITY_DN17665_c1_g1,493,959,433,613,254,580,771,220,1591,473
TRINITY_DN9881_c0_g2,19,25,11,18,14,21,14,54,23,25
TRINITY_DN23690_c0_g1,264,101,48,35,31,302,73,42,99,105
TRINITY_DN12656_c0_g1,124,159,76,72,46,108,47,50,102,44
TRINITY_DN20569_c0_g2,275,237,216,364,183,318,228,172,189,263
TRINITY_DN22312_c0_g1,100,136,70,142,55,137,89,145,106,104
TRINITY_DN20700_c0_g1,60,62,113,102,54,71,62,44,80,57
TRINITY_DN15777_c0_g1,161,180,196,317,193,196,293,10,136,247
TRINITY_DN22345_c0_g1,170,137,72,142,113,191,109,70,115,200
TRINITY_DN20560_c0_g2,16.72,19,16,44,29,23,39,13.14,22,13.8
TRINITY_DN19650_c0_g1,307,449,437,326,304,390,519,205,613,335
TRINITY_DN19578_c0_g1,789,840,746,1515,826,1009,1067,789,1350,995
TRINITY_DN14954_c0_g1,982.47,853.54,968.63,1323.68,1227.56,1109.53,1756.38,1391,832.7,578.16
TRINITY_DN18167_c0_g1,324,383,202,475,329,390,291,138,231,218
TRINITY_DN16601_c0_g3,369,487.75,221.84,221,121,445,268,233,454.03,238
TRINITY_DN20311_c0_g6,33,61,86.74,64.61,52.87,33,38,26,24.54,53.55
TRINITY_DN23201_c0_g1,181,177,116,120,106,222,117,529,155,195
TRINITY_DN22635_c1_g2,189,157,102,87,74,204,81,82,66,159
TRINITY_DN22643_c0_g1,48,46,38,28,23,90,71,300,53,47
TRINITY_DN2403_c0_g1,47,45,35,54,58,68,73,63,72,55
TRINITY_DN21208_c0_g1,64,97,51,36,46,69,123,79,172,54
TRINITY_DN21743_c0_g3,202,232,92,164.38,56,215,213,57,411.22,153
TRINITY_DN22330_c4_g19,99,89,94,66,65,92,91,59,97,77
TRINITY_DN22588_c1_g2,142,162,114,161,68,144,72,19,114,77
TRINITY_DN23368_c2_g3,113,47,62,137,50,142,235,141,186,249
TRINITY_DN22852_c0_g5,222,160,120,188,98,197,122,27,156,175
TRINITY_DN3004_c0_g1,86,118,105,122,90,105,126,218,125,112
TRINITY_DN19961_c0_g11,110,149,145,263,102,152,245,410,237,146
TRINITY_DN20701_c0_g2,382,465,306,293,187,456,218,137,385,227
TRINITY_DN19514_c0_g1,196,398,157,295,62,172,210,64,480,249
TRINITY_DN17731_c0_g1,50,40,35,18,14,54,25,55,38,36
TRINITY_DN22481_c0_g1,33,40,54,79,19,25,93,34,79,68
TRINITY_DN20623_c0_g2,165,259,230,178,185,205,268,246,257,143
TRINITY_DN19360_c0_g1,72,27,21,47,24,45,35,78,32,44
TRINITY_DN23512_c1_g114,121.01,143.02,104.76,73,46,112.29,91,242.39,117.99,73.92
TRINITY_DN21388_c0_g2,36,34.2,30.02,41.87,61,67.04,46,61,32.75,89.96
TRINITY_DN3828_c0_g1,46,77,43,50,39,45,39,57,104,25
TRINITY_DN23115_c0_g1,314,497,203,279,164,384,142,40,390,148
TRINITY_DN17763_c0_g2,69.04,75.34,70.36,75.57,36,88.38,139.39,100,101.76,18.79
TRINITY_DN19511_c2_g5,538.82,39,355.97,225,369,596.94,249,1498,15,193
TRINITY_DN20900_c6_g1,28,30,53,54,17,44,102,499,75,49
TRINITY_DN14988_c0_g1,96,124,46,123,60,118,91,37,145,140
TRINITY_DN21375_c0_g3,368.82,189.81,298.82,838.46,465.66,435.51,576.79,36.94,354.94,533.35
TRINITY_DN20630_c0_g2,163,303,124,170,88,195,123,48,179,106
TRINITY_DN14448_c0_g1,50,72,60,77,40,75,67,30,87,37
TRINITY_DN22368_c0_g3,40,33,17,30,27,47,36,21,32,32
TRINITY_DN19761_c1_g3,252.85,86.6,145.07,252.15,141.02,316.57,93.35,181.09,156.76,193.74
TRINITY_DN19098_c3_g2,1017,1796.88,543.39,466,588.4,970.78,570,213,1188.79,415.58
TRINITY_DN18773_c0_g1,98,114,93,138,56,118,121,92,111,115
TRINITY_DN19169_c0_g1,81,75,56,70,49,74,46,20,86,30
TRINITY_DN23148_c1_g9,36,122,90,112,37,53,129,49,122,161
TRINITY_DN19506_c0_g1,526,514,410,806,383,537,684,587,483,708
TRINITY_DN22189_c0_g3,2615,4015,1739,3899,1282,2892,1541,1862,4277,2074
TRINITY_DN20709_c1_g1,1194,1474,923,1197,727,1389,642,120,763,715
TRINITY_DN21446_c0_g3,62,42,40,24,24,85.27,20,108,40,22
TRINITY_DN22673_c0_g1,173,134,144,241,148,226,138,31,104,140
TRINITY_DN6850_c0_g1,56,62,66,37,34,61,136,187,85,16
TRINITY_DN20580_c0_g1,374,455,362,560,244,465,323,385,420,563
TRINITY_DN8593_c0_g3,65.21,56.43,48,85,53.87,44.55,52.67,13.75,69.66,52.05
TRINITY_DN22190_c1_g2,79,72,22,29,19,94,30,44,49,39
TRINITY_DN19712_c0_g1,55,41,30,31,31,64,23,44,24,47
TRINITY_DN20334_c3_g2,25.26,25,25,18,13,44.3,21,16,21.52,28
TRINITY_DN12068_c0_g1,322,304,203,304,122,358,225,47,627,212
TRINITY_DN23707_c0_g12,57,47,84,44,33,69,79,198,64,24
TRINITY_DN21453_c2_g1,7416,5099,3420,7499,1922,8791,5661,968,6300,5942
TRINITY_DN21693_c0_g1,490,401,354,1463,537,494,671,646,309,1105
TRINITY_DN21682_c0_g2,56,43,35,55,39,50,61,92,49,59
TRINITY_DN21322_c2_g2,139.82,256,189,277,140,179,175,15.45,288.87,73
