,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN20501_c0_g3,25,0,22,0,8,34,16,0,0,23.12
TRINITY_DN22478_c1_g2,19.11,7.24,3.06,5.42,2.38,10.38,9.46,0,16.22,21.05
TRINITY_DN17782_c0_g1,14,31,13.39,5,5,17,7,6,22,6
TRINITY_DN8638_c0_g1,13,17,11,13,8,16,6,0,6,7
TRINITY_DN19315_c0_g1,11,1,0,15,7,15,8,0,11,44
TRINITY_DN20936_c2_g5,8.43,15.14,8.77,13,2,17.44,15,5,21,9
TRINITY_DN19126_c1_g2,14,12,4.48,13,2,16,6.55,26.97,8.08,0
TRINITY_DN20308_c0_g5,11.94,22.51,0,15.43,7,9.52,7.69,0,5.66,12.37
TRINITY_DN22102_c9_g1,6,12,10,7,13,9,10.14,0,13.79,4
TRINITY_DN23449_c1_g13,37.44,28.32,6,30.19,0,50.44,0,0,11.2,0
TRINITY_DN22591_c6_g29,7.68,2.05,10.17,25.72,14.76,0,9.39,0,6.51,22.85
TRINITY_DN17887_c0_g1,12,5.91,17.02,8.69,3.04,10.33,8.62,19.65,7.3,17.79
TRINITY_DN8157_c0_g2,20,0,7.2,3.01,2.5,25,20,2,44.46,12
TRINITY_DN18049_c0_g1,11,23,6,16,2,12,9,0,23,4
TRINITY_DN22571_c0_g14,11,19,11,6,7,14,13,9,6,5
TRINITY_DN19179_c0_g1,11.75,42.95,13,1,0,8.65,1,12,23.85,1
TRINITY_DN20589_c6_g3,16,3,2,9,2,18,12,15,8,10
TRINITY_DN17629_c0_g1,19,27,8,10,4,22,9,0,39,9
TRINITY_DN23653_c2_g5,16,49,32,2,19,33,3,0,5,1
TRINITY_DN18545_c0_g3,12.42,15.43,10.47,7.71,7.41,16.3,8.24,1,11,6.97
TRINITY_DN13088_c0_g3,3,9.72,13.78,14.76,2,10,8,0,9.57,3
TRINITY_DN19163_c1_g2,14,8,3,7.17,0,12,5,33,14,26
TRINITY_DN22983_c3_g3,11,16,11,7,0,21,5,8,12,4
TRINITY_DN8472_c0_g1,16,21,6,4,5,6,10,17,13,8
TRINITY_DN20694_c3_g1,11,30,10,15,3,7,4,0,8,15
TRINITY_DN6519_c0_g1,13,18,5,10,0,5,4,18,19,4
TRINITY_DN6322_c0_g1,11.26,0,11.82,0,4.32,21.7,3.99,0.32,12.43,9.31
TRINITY_DN21620_c0_g2,9,7,30,26,8,14,4,0,17,26
TRINITY_DN22821_c0_g14,6,4,0,10,21,17,18,0,2,10
TRINITY_DN17367_c0_g7,1,32,0,0,20,4,20,58,0,28
TRINITY_DN22140_c3_g1,22,10,2,9,4,17,18,0,5,24
TRINITY_DN72729_c0_g1,11,17,6,13,7,18,8,0,2,10
TRINITY_DN23184_c10_g18,13.95,22.8,9,7,6,20.01,8.19,3,25.42,10
TRINITY_DN23793_c7_g12,7.55,6.37,10,5,5,13.97,18,47,14,3
TRINITY_DN21553_c6_g1,13,12,7,11,8,11,4,0,5,14
TRINITY_DN39805_c0_g1,15,24,12,6,4,22,5,8,24,5
TRINITY_DN3931_c0_g1,11,22,9,7,3,11,3,15,14,2
TRINITY_DN13832_c0_g1,27,16,0,13,1,20,9,0,0,13
TRINITY_DN16744_c0_g1,7,10,10,4,5,10,5,2,18,11
TRINITY_DN22456_c4_g33,15,28,7,3,6,14,0,0,26,14
TRINITY_DN18295_c0_g1,16,8,6,16,1,13,15,7.04,26,7
TRINITY_DN15048_c0_g1,18,11,11,14,5,27.85,0,0,1,5
TRINITY_DN22736_c7_g1,24,9,0,1,0,22,25,56,20,3
TRINITY_DN23468_c3_g60,17.07,7.08,8.01,4,2,18.96,7.2,13,12.25,10
TRINITY_DN20964_c3_g8,313.99,0,251.92,0,160.41,318.24,0,0,1828.09,0
TRINITY_DN23217_c0_g16,6,0,0,9.02,0,6,12,21,13,13
TRINITY_DN13554_c0_g2,13,8,11,8,2,16,11,48,3,6
TRINITY_DN8451_c0_g1,25.79,21,5,6,3,24,3,18,26,7
TRINITY_DN12674_c0_g1,7,8,8,10,3,17,12,34,15,4
TRINITY_DN22668_c3_g2,44,0,0,26,21,38,3,4,4,36
TRINITY_DN16680_c0_g1,13,8,7,9,3,10,20,45,11,9
TRINITY_DN19813_c1_g1,26,18,11,8,6,30,6,5,3,17
TRINITY_DN15629_c0_g1,3,97,12,42,5,7,28,0,100,0
TRINITY_DN19538_c0_g4,5,10,10,13,1,4,8,24,14,4
TRINITY_DN22417_c0_g3,12,0,2,6,8,15,21,14,6,14
TRINITY_DN22962_c2_g5,10.91,4.97,0,0,4,8,12,68.44,19.38,12
TRINITY_DN18072_c0_g1,16,17,3,6,5,6,17,34,18,4
TRINITY_DN22807_c2_g1,16,10,7,13,11,11,7,0,4,2
TRINITY_DN11502_c0_g1,10.15,6.61,3,12,6,12.77,24,3.01,38.07,0
TRINITY_DN16173_c0_g1,15,28,5,7,6,23,5,0,22,10
TRINITY_DN22096_c0_g4,8,12,13,8,8,12,10,6,23,8
TRINITY_DN10976_c0_g1,50,152,89,113,0,46,1,0,0,0
TRINITY_DN22474_c1_g1,9,14,10,7,4,11,7,7,11,12
TRINITY_DN17738_c0_g1,20,11,10,13,2,25,4,4,9,2
TRINITY_DN7237_c0_g2,7.6,0,9.78,2.8,10.11,6.91,16,24,15.5,0
TRINITY_DN13294_c0_g1,10,14,11,9,5,14,9,2,9,10
TRINITY_DN22859_c2_g35,4.19,35.31,21.67,0,0,18.65,0,12,26.44,8.91
TRINITY_DN19608_c1_g1,13,11,11,6,0,13,9,5,6,14
TRINITY_DN19681_c3_g11,2.27,51.6,2.45,29.49,0,23.82,2.51,0,27.82,9.89
TRINITY_DN23169_c0_g3,8,10,3,11,4,13,3,30,11,7
TRINITY_DN21254_c0_g1,8,12,8,11,3,7,17,11,15,8
TRINITY_DN21101_c2_g18,31,15,4,19,0,30,7,0,7,10
TRINITY_DN15592_c0_g2,13,10,4,9,9,12,3,64,13,8
TRINITY_DN23191_c3_g2,11,14,20,6,3,9,16,5,11,0
TRINITY_DN19829_c1_g5,21,18,6,12,8,29,5,3,4,12
TRINITY_DN15488_c0_g1,12,0,1,10,7,13,9,21,0,15
TRINITY_DN23007_c2_g5,8,7,15,7,3,5,11,113,11,15
TRINITY_DN23583_c3_g8,17,27,0,47,37,20,0,0,0,0
TRINITY_DN2836_c0_g2,4.19,15.89,8.93,34.19,0,4.19,42.34,6.82,16.76,12.09
TRINITY_DN22552_c3_g1,5,12,9,17,6,11,6,16,6,12
TRINITY_DN23716_c12_g18,1.04,3187.13,0,0,817.63,1.05,0,2756,3029.96,501.08
TRINITY_DN19002_c2_g1,5,24,13,12,10,10,6,8,0,9
TRINITY_DN22679_c2_g16,5,11,6,10,7,9,25,56,22,6
TRINITY_DN15953_c0_g1,8,30,17,12,11,11,8,2,5,8
TRINITY_DN21598_c0_g1,11,13,5,13,9,16,8,0,8,15
TRINITY_DN18305_c0_g1,7,16,12,7,2,10,18,8,23,3
TRINITY_DN21823_c2_g1,6,3,8,10,4,10,11,72,21,7
TRINITY_DN15471_c0_g2,18,15,6,3,4,16,6,30,10,7
TRINITY_DN21751_c0_g18,11,31,4,24,2,11,3,0,31,7
TRINITY_DN6842_c0_g1,14,13,7,9,7,16,15,4,2,13
TRINITY_DN23434_c0_g64,17.76,2,4,10,6,14.8,11.38,7,17.58,0
TRINITY_DN13526_c0_g1,14,14,6,19,9,20,5,0,2,11
TRINITY_DN22813_c1_g3,0,15,21,0,9,0,13,325,0,15
TRINITY_DN12609_c0_g1,5,1,19,22,10,10,8,0,8,26
TRINITY_DN17942_c0_g1,18,13,15,4,6,37,9,46,7,4
TRINITY_DN22697_c10_g2,26,6,12,6,7,45,6,0,20,10
TRINITY_DN15275_c0_g1,21,18,7,10,7,21,5,3,8,21
TRINITY_DN15491_c0_g2,8,22,16,2,1,9,46,21.09,11,0
TRINITY_DN21764_c1_g17,7,24,4,6,4,18,20,27,20,5
TRINITY_DN23534_c1_g3,281.43,0,92.78,0,0,321,29.67,9,0.5,157.58
TRINITY_DN12942_c0_g2,34,0,3,35,2,48,6,26,46,3
TRINITY_DN19833_c0_g1,7,15,17,7,14,3,4,20,10,3
TRINITY_DN22133_c2_g3,29.19,42.88,2.28,12.41,3.76,27.32,0,0,16.68,6.97
TRINITY_DN22719_c3_g4,17,25,5,6,8,17,6,0,18,16
TRINITY_DN17077_c0_g1,10,1,3,10,17,18,1,4,4,11
TRINITY_DN6364_c0_g1,13,9,13,1,1,10,5,18,14,1
TRINITY_DN23298_c5_g2,14,0,0,0,0,19,20,0,66,19
TRINITY_DN14412_c0_g1,12,0,13,0,0,22,24,0,0,15
TRINITY_DN22260_c0_g1,5,15,9,11,9,14,2,3,15,11
TRINITY_DN15327_c0_g1,35,0,14,7,6,58,0,5,32,24
TRINITY_DN23723_c10_g46,16.98,13.75,8.87,7.67,0.87,6.53,12.72,4.01,20.18,14.08
TRINITY_DN14096_c0_g2,44,16,3,1,1,38,5,0,170,12
TRINITY_DN13958_c0_g1,20,14,5,6,0,27,13,0,3,18
TRINITY_DN15714_c0_g2,9,14,6,9,6,16,8,18,11,12
TRINITY_DN18889_c1_g1,16,15,4,16,5,25,9,3,26,9
TRINITY_DN15840_c0_g1,5,29,8,10,5,10,5,1,40,10
TRINITY_DN20032_c1_g24,8.51,6.9,6,2.25,6.02,18.08,21.65,27.48,10.03,10.08
TRINITY_DN23220_c3_g11,10,32,7,3.66,6,16,7,18,42.46,7
TRINITY_DN18615_c0_g1,12,14,6,23,15,15,2,0,3,5
TRINITY_DN12055_c0_g1,14,14,5,12,2,14,9,16,7,7
TRINITY_DN16131_c0_g1,12,19,8,18,11,9,7,2,10,4
TRINITY_DN20091_c0_g1,46,34,10,5,3,36,4,24,9,1
TRINITY_DN22377_c7_g1,8,13,4,10,7,10,13,17,6,8
TRINITY_DN22802_c1_g1,9,11,8,9,2,10,17,104,17,8
TRINITY_DN17819_c0_g1,17,28,8,24,9,21,6,0,3,16
TRINITY_DN12741_c0_g2,11.27,11.74,8.44,13.81,2.61,17.65,4.35,0,8.37,11.01
TRINITY_DN22388_c2_g10,43.53,0,0,122.78,0,45.04,142.89,0,1.09,113.37
TRINITY_DN22729_c1_g5,10.26,7.01,7.11,13.29,13.44,10.99,14.59,5,2.15,3.93
TRINITY_DN23569_c2_g1,36,60,7,17,2,48,29,1,8,3
TRINITY_DN23595_c1_g39,10.61,1,3,7,4,21,12,19,33,4
TRINITY_DN21113_c0_g1,15,6,6,4,10,22,14,189,6,7
TRINITY_DN23742_c10_g57,14.2,13,15,17,3,10,0,0,1,1
TRINITY_DN22398_c2_g1,13,6,10,10,6,10,19,4,1,3
TRINITY_DN13998_c0_g1,4,6,12,12,16,23,10,6,0,6
TRINITY_DN18260_c0_g1,12,2,13,4,2,11,15,18,9,7
TRINITY_DN18666_c1_g2,12.78,16.5,13,5,7,14.86,5.18,3.8,4,12.2
TRINITY_DN22823_c2_g16,8,9,7,11,6,11,13,74,27,6
TRINITY_DN18202_c0_g1,27,4,1,83,1,39,0,0,19,46
TRINITY_DN13993_c0_g1,11,19,13,7,2,24,4,8,12,5
TRINITY_DN21908_c1_g2,51.3,62.53,17,14.28,8.18,55.13,0,0,0,0
TRINITY_DN8671_c0_g1,16,18,11,10,9,9,18,4,9,9
TRINITY_DN15907_c0_g1,9,21,10,15,2,14,5,1,26,8
TRINITY_DN23711_c4_g13,25,0,0,31.98,7.99,26,16,7,0,10
TRINITY_DN16604_c0_g1,16,13,4,4,2,26,17,0,15,1
TRINITY_DN11038_c0_g1,14,9,7,9,5,14,16,0,22,10
TRINITY_DN6517_c0_g1,18.03,12.6,43.69,6.8,6.78,16.51,0,0,14.64,5.76
TRINITY_DN22577_c1_g3,34,36,1,3,17.09,47.03,9,8,107,3
TRINITY_DN14806_c0_g3,1095.57,1.61,1562.3,0,1001,1295.39,0,0,0,871.05
TRINITY_DN9524_c0_g2,0,26.26,13.23,1.92,18.3,6.36,40.31,21.01,0,0
TRINITY_DN15704_c1_g1,9,19,7,3,2,15,16,16,11,6
TRINITY_DN12129_c0_g1,11,9,12,6,7,12,17,3,15,2
TRINITY_DN21869_c0_g1,22,27,5,5,11,29,19,1,6,9
TRINITY_DN23438_c3_g1,4.5,8,11,13.13,0,17,11.82,0,3.75,15
TRINITY_DN17989_c0_g1,11,15,14,12,4,12,7,4,8,9
TRINITY_DN22555_c3_g3,38,0,1,52.68,0,49,58,0,10,0
TRINITY_DN18010_c0_g2,15,21,6,14,14,9,8.31,0,6,15.72
TRINITY_DN23683_c4_g35,42.78,29,5,7,8,53,1,1,42,10
TRINITY_DN20100_c0_g8,15,2.07,0,4.41,3.94,30.07,29.14,28.62,9.35,6.21
TRINITY_DN23041_c1_g10,11,13,2,2,1,12,22,1,11,3
TRINITY_DN11788_c0_g2,17,12,7,4,17,22.85,8,0,18,4
TRINITY_DN23795_c15_g26,23,23,13,4,2,17,2,0,22,6
TRINITY_DN7003_c0_g1,9,22,24,9,5,16,7,65,44,9
TRINITY_DN21828_c1_g28,28,18,3,1,5.09,15.07,10.17,4,10.09,6.3
TRINITY_DN9819_c0_g1,11,5,13,7,1,14,9,70,12,5
TRINITY_DN14071_c0_g1,14,10,4,6,0,15,8,8,13,10
TRINITY_DN21491_c0_g4,14,10,9,11,7,9,8,15,2,16
TRINITY_DN13222_c0_g1,11,15,8,16,8,22,10,0,8,4
TRINITY_DN22370_c0_g1,8,15,5,9,5,11,15,8,10,10
TRINITY_DN23508_c2_g88,68,80.42,4,3.22,0,79.91,8.49,12.92,63.53,2
TRINITY_DN15504_c0_g1,15,16,6,6,3,19,7,20,29,7
TRINITY_DN21979_c2_g17,22,0,25,17,45,25,0,0,0,7
TRINITY_DN20893_c1_g2,0,41.59,10,0,16,0,0,0,24.45,12.98
TRINITY_DN23363_c2_g6,107.36,97.76,0,96.73,42.76,104.77,1.13,0,0,0
TRINITY_DN19747_c0_g2,14,20,7,10,4,14,7,0,12,7
TRINITY_DN17429_c0_g2,8.96,24.89,10.45,8.17,9,25,8.36,10,39.85,7.82
TRINITY_DN2367_c0_g1,25,16,6,9,11,31,5,0,2,10
TRINITY_DN21915_c5_g23,8,5.75,17,18,13,20,16,5,0,6
TRINITY_DN7884_c0_g1,11,2,2,0,0,13,22,16,20,9
TRINITY_DN23758_c3_g15,17,12,5,6,5,19,6,16,10,5
TRINITY_DN2371_c0_g1,11.24,0,4.79,0,0,14.01,18,35,7.6,14
TRINITY_DN21561_c1_g4,18.76,5,5,2,2,22.52,103,169.47,3,14.26
TRINITY_DN18828_c6_g8,6,2,19,6,19.01,7,23,6,18,11.1
TRINITY_DN19826_c0_g2,6.43,13.1,9.81,12.77,5,8,2,0,16.76,11.17
TRINITY_DN17152_c0_g1,14,17,15,6,12,12,3,0,3,8
TRINITY_DN23418_c0_g11,20,11,6,8,16,18.78,2,0,3,10
TRINITY_DN22207_c0_g1,9,14,4,8,3,19,19,3,11,21
TRINITY_DN19497_c0_g1,8,11,5,9,15,4,15,10,19,3
TRINITY_DN23562_c3_g2,11,7,17,8,7,16,1,23,1.89,21
TRINITY_DN13134_c0_g5,13.51,4,0,10,8,9.23,4,14.02,12,5.02
TRINITY_DN13666_c0_g2,0,5.34,14.57,6.61,4.9,12.86,29,58,6,31.17
TRINITY_DN23647_c2_g2,1,24.33,13,16,22,5,21,0,1,0
TRINITY_DN21648_c0_g2,38,0,2,0,0,42,30,52,21,6
TRINITY_DN23750_c6_g23,19.76,4,7,7,3,28,36,8,45,20
TRINITY_DN14451_c0_g1,1,40,25,5,6,6,16,13,35,6
TRINITY_DN19602_c1_g7,5.28,13,3.83,12.13,0.34,13.49,22.71,0,39.21,6.81
TRINITY_DN23562_c3_g7,12,4,0,0,0,19,12,12,10.11,0
TRINITY_DN18728_c1_g1,21,30,15,15,4,25,6,0,6,5
TRINITY_DN12691_c0_g2,143.62,5.25,0,20,6,171.77,9,21,6,34.52
TRINITY_DN9437_c0_g1,13,21,6,10,2,11,9,0,8,15
TRINITY_DN42371_c0_g1,40,15,3,7,5,43,6,0,105,12
TRINITY_DN19975_c0_g2,6.36,0,4.85,26.72,5.69,15.3,16.82,17.38,0,10.42
TRINITY_DN4500_c0_g2,7,20,9,20,9,17,13,8,22,7
TRINITY_DN22602_c2_g1,13,20,7,5,10,12,9,0,7,11
TRINITY_DN22941_c1_g2,24,93,0,94,155,28,0,0,4,5
TRINITY_DN16008_c1_g1,8,16,7,12,13,14,0,1,2,18
TRINITY_DN15169_c0_g1,13,34,3,7,5,16,5,46,40,4
TRINITY_DN13027_c0_g1,807.29,991.63,0,1462.85,816.15,954.54,0,0,0,0
TRINITY_DN23484_c1_g27,10,13,6,18,5,5,16,9,17,4
TRINITY_DN15426_c0_g1,11,25,3,7,4,24,3,34,8,10
TRINITY_DN16866_c0_g1,0,29,49,1,7,3,14,442,27,2
TRINITY_DN2861_c0_g1,13,14,9,12,8,11,9,0,2,11
TRINITY_DN22118_c2_g1,14,11,13,5,5,16.96,5,23,3,4
TRINITY_DN22711_c2_g8,5,2,2,12,3,13,15,13,20,3
TRINITY_DN14990_c0_g1,20,38,4,7,4,23,5,0,15,12
TRINITY_DN18053_c0_g1,14,29,9,6,1,17,12,26,8,5
TRINITY_DN11931_c0_g1,6,13,17,10,0,7,9,53,11,8
TRINITY_DN8774_c0_g1,8,4,6,10,4,10,11,43,15,8
TRINITY_DN22439_c2_g3,16.99,14.5,9.44,5.79,7.91,21.68,2.49,2.23,7.4,16.4
TRINITY_DN23684_c5_g81,9,12,7,34,4,9,26,1,37,108
TRINITY_DN10383_c0_g1,4,12,9,9,3,11,10,13,8,15
TRINITY_DN19261_c0_g3,34.49,19.49,3.27,1.08,1.1,44.78,2.34,5.22,20.76,11.89
TRINITY_DN11565_c0_g1,5.56,63.37,22.67,44.56,36.01,0,2,10,0,0
TRINITY_DN21878_c1_g28,14,12,2,9,0,5,23,0,64,13
TRINITY_DN23621_c8_g50,5,9,10,11,5,12,8,93,6,10
TRINITY_DN2961_c0_g1,7,12,12,12,14,7,7,0,7,10
TRINITY_DN22044_c1_g1,12,3,21,0,5,19,12,36,6,6
TRINITY_DN23388_c1_g1,20,0,44,0,1,29,92,241,0,0
TRINITY_DN23220_c2_g1,9,3,6,14,4,10,24,45,15,9
TRINITY_DN23644_c3_g5,10,12.69,5,8,4.62,6.24,27.36,9,38.46,40.05
TRINITY_DN16727_c0_g2,12,15,2,6,0,13,17,8,40,1
TRINITY_DN20602_c0_g7,13.1,19.67,16,47,0,22,0,0,1,0
TRINITY_DN21110_c1_g1,11,4,17,19,8,6,4,11,8,13
TRINITY_DN13238_c0_g1,17,13,8,6,8,18,10,0,9,20
TRINITY_DN21883_c2_g17,10,36,6,0,19,17,18,0,1,1
TRINITY_DN23197_c0_g8,7,2,10,13,6,10,14,0,10,0
TRINITY_DN21872_c4_g1,15,8,12,8,4,11,6,35,27,5
TRINITY_DN5884_c0_g1,7,2,4,1,4,19,20,31,11,33
TRINITY_DN10171_c0_g2,10.85,18.13,7.01,13.48,13.35,7.57,0,0,105.66,0
TRINITY_DN18864_c0_g4,13,16,12,13,6,10,6,0,5,6
TRINITY_DN23085_c3_g8,15.87,34,9.86,0,2,28,0,3,0,15.56
TRINITY_DN19308_c1_g1,18,11,9,16,3,16,7,0,8,13
TRINITY_DN22065_c1_g1,10,10,13,5,9,16,4,8,7,19
TRINITY_DN18683_c0_g2,38,39,7,3,1,19,6,0,24,13
TRINITY_DN14473_c0_g1,10,11,5,3,2,7,7,36,18,12
TRINITY_DN20139_c0_g1,5,9,12,9,13,11,18,8,13,4
TRINITY_DN12879_c0_g1,6,44,12,9,8,4,17,0,17,11
TRINITY_DN23758_c3_g11,7.43,12,4,7.78,3.18,12.97,14.52,38.98,6.33,10.63
TRINITY_DN23697_c3_g53,11,19,11,4,14,13,9,0,4,4
TRINITY_DN22285_c3_g16,16,10,6,10,2,9,1,15,2,14
TRINITY_DN18694_c0_g1,18,24,0,18,1,29,2,0,26,7
TRINITY_DN21800_c5_g1,7,9,4,4,2,10,13,50,28,12
TRINITY_DN23191_c1_g3,8,7,18,7,1,15,11,106,17,8
TRINITY_DN22561_c0_g1,9,13,10,3,2,8.8,10.01,5,9.01,11
TRINITY_DN20908_c0_g1,1,7,24,1,10,0,35,96,0,27
TRINITY_DN18645_c0_g2,7,25,7,5,4,10,5,16,33,12
TRINITY_DN14438_c0_g1,14,11,11,8,4,12,4,0,19,8
TRINITY_DN23217_c0_g15,15,7,20,14,11,9,10,1,3.36,8
TRINITY_DN13184_c0_g2,17.19,13,6,8,10,24.32,3,0,7,14
TRINITY_DN12887_c0_g1,9,1,23,46,27,18,4,5,0,14
TRINITY_DN23649_c5_g1,25,2.39,7,2,0,31,16,29,0,21
TRINITY_DN21408_c3_g3,21,0,0,0,3,33.98,29,195.01,27,0
TRINITY_DN17459_c0_g1,11,11,10,14,9,16,7,6,9,6
TRINITY_DN22273_c6_g1,94,14,8,2,3,133,4,240,304,3
TRINITY_DN23313_c0_g35,11,30,9,13,7,13,5,2,10,3
TRINITY_DN10518_c0_g1,65,21,17,4,5,63,3,0,13,3
TRINITY_DN23788_c11_g11,11.27,15.68,0,0,0,11.75,10.18,0,47.4,0
TRINITY_DN20736_c1_g1,15,6,10,3,3,17,15,7,8,15
TRINITY_DN13745_c0_g1,13,26,9,8,10,11,5,0,10,4
TRINITY_DN3710_c0_g1,38,0,1,63,189,30,7,22.5,0,0
TRINITY_DN23781_c9_g30,11,4,0,6,2,24.85,61.56,7,42.2,32.4
TRINITY_DN11798_c0_g1,17,18,5,15,5,15,6,1,7,11
TRINITY_DN23594_c2_g3,9.49,5.73,20,0,0,23.55,0,49,73.35,0.21
TRINITY_DN17626_c0_g1,10,22,14,10,5,8,14,3,5,2
TRINITY_DN23557_c2_g39,8,15.82,9,8.96,7.64,12.48,16.28,7,34.73,18.13
TRINITY_DN15983_c0_g1,20,17,12,9,7,24,5,7,21,8
TRINITY_DN12955_c0_g1,15,13,9,7,6,24,14,0,3,14
TRINITY_DN21812_c2_g11,21,13,6,5,2,18,3,3,27,11
TRINITY_DN23684_c5_g71,14.85,9.5,1,12.42,3.91,17.2,0,0,9.93,8.8
TRINITY_DN17413_c0_g2,0,5.75,4.47,2.48,4.95,11.43,10.29,49,11.96,13.85
TRINITY_DN19473_c0_g6,23,0,0,6,1,27,16,25,16,0
TRINITY_DN18671_c0_g1,10,12,4,12,5,11.12,2.2,1.07,13,7
TRINITY_DN21529_c0_g10,16,0,46,0,0,27,120,0,44,1
TRINITY_DN11286_c0_g1,14,27,2,10,4,22,6,0,10,7
TRINITY_DN22814_c3_g4,4,52,4,22,1,14,10,9,24,9
TRINITY_DN23298_c5_g16,33,0,0,0,9,34.28,29,5,99.63,19.22
TRINITY_DN12265_c0_g1,13,1,4,8,3,26,17,29,21,9
TRINITY_DN14570_c0_g5,30.9,0,158.07,108.23,52.61,30.83,0,0,0,0
TRINITY_DN17903_c0_g4,12,9,12,11,6,11,6,9,12,4
TRINITY_DN23599_c0_g1,7,17,15,9,4,9,17,60,19,2
TRINITY_DN21780_c3_g4,12.18,39.73,8.64,16.24,8.08,14.45,1.28,0,3.43,9.93
TRINITY_DN23557_c2_g31,9,23,8,4,3,17,11,2,19,12
TRINITY_DN20578_c7_g12,16,26,13,9,5,9,9,110,27,5
TRINITY_DN14026_c1_g2,13.84,15,4.01,15,4,14.69,7,4,2,12
TRINITY_DN23768_c4_g28,5,89,22,0,1,8,5,54,100,28
TRINITY_DN23452_c5_g4,27,24,9,9,5,27,9,121,8,26
TRINITY_DN21921_c2_g14,18,35,21,36,0,36,5,3,9,6
TRINITY_DN22424_c8_g1,21,11,3,7,7,18,7,22,7,18
TRINITY_DN23339_c0_g1,37,20,15,2,5,48.57,2,0,17.6,6
TRINITY_DN20736_c7_g1,9,30,7,5,5,15,12,9,34,10
TRINITY_DN7947_c0_g2,17,12,4.49,0,0,22,11,2.66,19,7
TRINITY_DN23738_c7_g1,12,8,6,2,9,10,10,23,20,7
TRINITY_DN22813_c1_g1,7,21,11,7,2,5,23,37,21,5
TRINITY_DN15608_c0_g1,10,3,8,5,5,6,20,56,14,10
TRINITY_DN18956_c0_g1,5,34,17,27,6,11,7,0,54,9
TRINITY_DN9432_c0_g1,11,12,10,5,2,16,7,0,11,3
TRINITY_DN27824_c0_g1,6,11,7,8,5,5,10,54,13,11
TRINITY_DN23644_c3_g2,0,42,15,0,13,0,43.05,0,0,21.9
TRINITY_DN17916_c0_g1,17,27,7,6,5,23,5,14,38,7
TRINITY_DN11870_c0_g2,11,22.45,39,1,1.84,5.66,13.23,9.55,1.92,1.88
TRINITY_DN29526_c0_g1,10,16,3,4,0,19,11,7,35,3
TRINITY_DN22019_c0_g5,26,11,6,13,5,30,7,9,7,14
TRINITY_DN15384_c0_g1,14,4,11,8,2,15,6,36,0,24
TRINITY_DN21846_c0_g1,13,23,14,9,1,11,7,4,38,5
TRINITY_DN13903_c0_g1,8,11,6,12,3,16,8,26,18,4
TRINITY_DN15352_c0_g1,15,12,12,10,6,11,2,2,2,5
TRINITY_DN4845_c0_g1,5,15,12,6,9,11,13,5,15,7
TRINITY_DN22212_c2_g10,13,27,27,24,25,7,0,3,5,6
TRINITY_DN21553_c7_g2,9,16,7,13,5,18,2,4,15,10
TRINITY_DN21158_c2_g1,14,15,12,7,8,10,13,0,5,9
TRINITY_DN49657_c0_g1,13,10,0,0,9,12,7,0,16,25
TRINITY_DN23713_c5_g27,4.47,20.08,23.61,45,13.27,13.47,0.58,0,5.14,0
TRINITY_DN21018_c3_g2,45,66.47,36,3.04,54.39,49.71,2,2,0,1
TRINITY_DN22864_c0_g1,6,13,5,15,2,9,7,36,11,12
TRINITY_DN14989_c0_g1,14,5,2,0,1,15,13,31,14,9
TRINITY_DN23768_c4_g51,5,14,2,11,1,5,38,124,7,44
TRINITY_DN20914_c2_g7,9,22.42,6,14,4,18,11,0,32.04,4
TRINITY_DN22876_c5_g3,24,19,8,5,2,17,13,8,33,8
TRINITY_DN19216_c0_g1,13,18,4,11,9,14,7,0,3,12
TRINITY_DN23199_c0_g11,34,85,49,58,0,20,6.13,0,5.8,0
TRINITY_DN16979_c1_g2,3,24,23,46,24,1,25,7,4,1
TRINITY_DN8650_c0_g1,21,13,8,7,12,15,8,0,1,14
TRINITY_DN18343_c0_g3,10,15,18,9,6,8,15,110,8,3
TRINITY_DN14698_c1_g1,18,28,8,4,4,11,1,20,7,16
TRINITY_DN13559_c0_g1,11,9,19,2,11,15,25,5,5,1
TRINITY_DN21287_c3_g8,11,10.86,5,10,7,18,3,4,22,4
TRINITY_DN11691_c0_g2,22,6,0,34.97,8,20.88,21.98,19.23,0,0
TRINITY_DN3668_c0_g2,12.27,33.51,0,0,18.76,14.47,0,0,0,12.69
TRINITY_DN9922_c0_g1,12.01,45.89,20.97,14.18,0,17.83,0,2,1.01,0.5
TRINITY_DN20414_c1_g6,28.46,4,6,7,8,33.48,32,68,10.01,5.39
TRINITY_DN15668_c0_g2,0,0,477.89,395.12,900,0,607.24,0,476.51,0
TRINITY_DN24476_c0_g1,13,7,21,14,15,4,6,0,15,7
TRINITY_DN20529_c8_g1,15,22,10,5,0,7,7,23,16,7
TRINITY_DN71581_c0_g1,10,44,3,13,0,9,12,4,13,3
TRINITY_DN14256_c0_g1,8,19,6,9,6,11,21,10,11,9
TRINITY_DN20511_c0_g2,10,10,28,11,7,14,1,4,6,7
TRINITY_DN16835_c1_g1,11,12,4,3,2,11,10,0,44,3
TRINITY_DN23041_c1_g21,41.91,27.38,8.92,0,0,59.21,12,0,41.19,1.9
